Function X X-ERROR Y Y-ERROR
A 1.311539 0.066268 1.000000 0.000000
1.1023  1.325429 0.083437 1.010926 0.016710
1.3011  1.134640 0.040017 1.276168 0.060281
1.2011  1.078336 0.058529 1.346358 0.054645
1.4411  1.035866 0.060660 1.318395 0.018087
1.9111  0.982717 0.047363 1.196714 0.047427
1.1111 0.962423 0.051994 1.127991 0.044731
1.2222  0.953673 0.046014 1.139608 0.044726
1.3333  0.948948 0.050462 1.169209 0.044333
1.4444  0.941013 0.047166 1.198138 0.045844
1.5555  0.929961 0.057801 1.328111 0.088813
1.6666  0.966331 0.036079 3.289381 0.213192
B  1.000000 0.000000 3.321802 0.121290
